Season,Lg,Tm,W,L,Finish,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020-21,NBA,HOU,17,55,5,,72,240.3,42.7,89.0,.480,13.4,35.2,.382,29.3,53.9,.544,17.9,22.8,.783,9.9,37.7,47.6,25.8,8.5,5.3,14.7,19.3,116.7
2019-20,NBA,HOU,44,28,1,,72,241.4,42.3,91.5,.462,12.2,35.0,.349,30.1,56.5,.532,18.0,23.7,.761,11.2,36.7,47.9,25.3,8.0,4.9,16.2,21.0,114.8
2018-19,NBA,HOU,53,29,1,,82,241.8,40.4,86.7,.466,10.1,29.8,.340,30.3,56.9,.532,18.2,23.7,.768,11.0,34.5,45.4,23.5,7.4,4.5,15.0,20.0,109.1
2017-18,NBA,HOU,65,17,1,,82,240.9,39.6,85.6,.462,10.1,28.8,.351,29.5,56.7,.519,14.6,19.6,.746,8.7,33.4,42.0,22.4,7.4,4.4,14.6,20.4,103.9
2016-17,NBA,HOU,55,27,2,,82,241.2,41.2,88.9,.463,10.0,29.1,.343,31.2,59.7,.522,17.3,22.2,.778,10.7,33.4,44.1,24.1,8.5,5.0,15.1,20.4,109.6
2015-16,NBA,HOU,41,41,4,,82,241.8,39.0,85.1,.459,9.7,26.9,.361,29.3,58.2,.504,18.6,24.6,.756,11.8,32.8,44.6,24.6,9.0,4.9,16.6,22.5,106.4
2014-15,NBA,HOU,56,26,1,,82,241.5,37.7,85.2,.443,7.4,22.9,.322,30.3,62.2,.487,17.7,23.6,.751,11.9,32.0,43.8,21.4,8.9,5.3,16.4,21.1,100.5
2013-14,NBA,HOU,54,28,2,,82,241.8,39.0,88.0,.443,8.1,23.0,.353,30.9,65.0,.475,17.0,22.5,.757,11.9,29.7,41.7,22.2,8.6,5.6,14.0,24.3,103.1
2012-13,NBA,HOU,45,37,3,,82,241.2,38.8,85.5,.454,8.1,21.9,.368,30.8,63.5,.484,16.8,21.6,.776,10.7,31.0,41.6,22.7,8.5,6.1,14.8,20.4,102.5
2011-12,NBA,HOU,34,32,4,,66,243.4,37.5,82.2,.456,5.6,17.2,.325,31.9,65.0,.491,17.3,22.6,.766,11.0,30.7,41.8,20.0,7.5,5.2,14.7,18.4,97.9
2010-11,NBA,HOU,43,39,5,,82,242.4,39.8,85.1,.468,5.5,15.2,.358,34.4,69.9,.492,18.6,23.8,.781,11.6,31.1,42.8,20.8,7.2,5.5,13.7,21.4,103.7
2009-10,NBA,HOU,42,40,3,,82,242.7,39.5,83.0,.475,6.0,16.4,.364,33.5,66.7,.503,17.9,23.4,.764,10.7,32.1,42.8,20.9,7.3,6.5,14.7,22.4,102.7
2008-09,NBA,HOU,53,29,2,,82,241.5,36.5,82.1,.444,5.7,15.8,.357,30.8,66.3,.465,15.8,21.1,.749,10.6,29.3,39.9,19.8,7.2,5.3,12.3,20.6,94.4
2007-08,NBA,HOU,55,27,3,,82,240.6,34.8,80.4,.433,5.3,14.5,.365,29.5,66.0,.447,17.2,23.3,.737,10.9,29.8,40.7,18.9,7.6,4.6,13.3,19.7,92.0
2006-07,NBA,HOU,52,30,3,,82,242.1,34.1,79.3,.429,5.8,16.4,.351,28.3,62.9,.450,18.3,24.4,.749,9.8,31.1,40.8,19.4,7.0,4.3,14.2,19.9,92.1
2005-06,NBA,HOU,34,48,5,,82,241.8,33.0,77.0,.429,6.6,17.9,.369,26.4,59.1,.447,19.0,26.0,.731,10.7,30.2,40.9,20.1,7.1,4.5,13.3,20.9,91.7
2004-05,NBA,HOU,51,31,3,,82,242.1,33.2,78.3,.423,5.5,16.4,.338,27.6,62.0,.446,19.2,25.8,.742,10.9,29.8,40.7,20.7,7.4,4.1,13.3,21.6,91.0
2003-04,NBA,HOU,45,37,5,,82,243.0,32.1,78.1,.412,5.6,15.0,.372,26.6,63.1,.421,18.2,24.7,.737,11.1,28.7,39.7,20.6,8.7,4.4,13.5,20.7,88.0
2002-03,NBA,HOU,43,39,5,,82,243.0,35.3,81.5,.433,4.7,13.6,.347,30.5,67.9,.450,17.1,22.0,.775,11.9,28.7,40.6,20.5,8.1,4.6,13.2,21.9,92.3
2001-02,NBA,HOU,28,54,5,,82,243.7,38.9,83.8,.464,4.5,12.5,.360,34.4,71.3,.482,14.9,19.8,.752,12.7,30.6,43.3,22.4,7.0,5.1,12.0,20.1,97.2
2000-01,NBA,HOU,45,37,5,,82,241.8,36.8,82.1,.449,4.4,12.4,.354,32.5,69.7,.465,16.9,22.7,.744,12.0,29.5,41.6,21.2,7.4,4.9,13.3,21.6,94.9
1999-00,NBA,HOU,34,48,6,,82,241.8,39.3,86.3,.456,4.3,12.1,.354,35.1,74.2,.473,17.4,22.3,.779,12.5,29.9,42.4,22.7,9.0,5.3,13.7,22.4,100.3
1998-99,NBA,HOU,31,19,3,,50,241.5,35.9,82.7,.434,4.6,12.9,.357,31.3,69.8,.448,15.6,21.2,.734,13.3,27.8,41.1,20.7,8.8,4.9,13.1,20.6,91.9
1997-98,NBA,HOU,41,41,4,,82,241.8,38.7,82.5,.469,5.0,13.7,.365,33.7,68.9,.489,17.1,23.1,.744,12.7,28.4,41.1,23.3,8.9,4.5,14.3,21.3,99.5
1996-97,NBA,HOU,57,25,2,,82,242.1,37.0,83.5,.443,6.3,18.9,.335,30.6,64.6,.474,15.9,21.8,.729,12.5,28.4,41.0,22.4,8.9,4.5,14.3,21.2,96.1
1995-96,NBA,HOU,48,34,3,,82,241.5,38.8,84.3,.460,5.9,16.4,.359,32.9,67.9,.484,17.4,24.5,.707,13.7,30.5,44.2,23.7,8.2,4.9,14.9,22.5,100.7
1994-95,NBA,HOU,47,35,3,,82,240.6,39.0,86.1,.453,6.2,16.4,.376,32.9,69.7,.472,17.2,22.9,.751,14.2,29.1,43.3,23.7,9.1,4.5,15.5,21.7,101.4
1993-94,NBA,HOU,58,24,1,,82,241.2,38.4,87.4,.440,3.1,10.3,.306,35.3,77.1,.458,16.8,22.8,.736,13.9,29.7,43.6,23.2,9.4,3.8,14.9,21.3,96.8
1992-93,NBA,HOU,55,27,1,,82,241.2,39.7,86.9,.457,3.0,8.9,.332,36.7,78.0,.471,17.5,22.9,.763,14.2,28.0,42.2,24.0,8.7,4.0,15.0,21.9,99.8
1991-92,NBA,HOU,42,40,3,,82,242.4,41.4,89.2,.463,2.4,7.0,.341,39.0,82.2,.474,18.6,24.2,.770,15.0,29.3,44.4,26.0,9.1,4.7,14.3,20.4,103.7
1990-91,NBA,HOU,52,30,3,,82,242.1,40.7,89.2,.456,2.2,7.6,.295,38.5,81.6,.471,19.6,25.4,.771,15.1,29.6,44.8,24.0,8.7,4.4,17.3,21.8,103.2
1989-90,NBA,HOU,41,41,5,,82,241.5,41.5,89.3,.464,2.0,6.8,.293,39.5,82.5,.478,20.4,27.5,.741,14.3,30.0,44.3,24.5,9.6,4.8,17.4,22.2,105.3
1988-89,NBA,HOU,45,37,2,,82,242.1,41.6,88.9,.468,2.3,6.5,.350,39.3,82.4,.478,22.0,28.9,.761,14.0,29.6,43.6,24.6,9.8,5.4,17.7,24.5,107.5
1987-88,NBA,HOU,46,36,4,,82,240.0,42.1,90.5,.465,1.3,4.8,.275,40.8,85.7,.476,22.0,28.7,.767,15.4,30.6,45.9,23.8,9.0,4.5,17.1,24.5,107.6
1986-87,NBA,HOU,42,40,3,,82,241.2,40.8,88.1,.463,1.2,4.3,.282,39.6,83.8,.473,23.0,29.5,.779,14.2,28.8,43.1,25.9,8.8,4.5,16.7,23.4,105.9
1985-86,NBA,HOU,51,31,1,,82,240.9,44.4,90.3,.491,1.1,3.3,.325,43.3,87.0,.498,22.0,29.3,.749,14.5,29.1,43.6,26.8,8.3,4.7,17.9,24.1,111.8
1984-85,NBA,HOU,48,34,2,,82,241.8,42.7,88.7,.481,1.1,3.1,.349,41.6,85.6,.486,23.0,29.6,.778,14.1,27.1,41.2,25.8,9.4,5.1,18.2,23.2,109.5
1983-84,NBA,HOU,29,53,6,,82,240.9,43.7,90.4,.483,0.5,1.9,.268,43.2,88.5,.488,25.8,34.2,.755,14.6,30.0,44.6,24.7,9.5,5.2,17.3,23.4,113.7
1982-83,NBA,HOU,14,68,6,,82,240.6,44.4,88.3,.503,0.4,1.5,.264,44.0,86.8,.507,21.7,29.0,.750,14.6,33.0,47.7,27.5,9.4,5.0,18.3,23.6,110.9
1981-82,NBA,HOU,46,36,3,,82,241.2,43.5,87.6,.497,0.6,2.5,.238,42.9,85.1,.504,18.3,24.5,.747,14.3,28.1,42.4,26.0,8.3,4.3,16.4,25.0,105.9
1980-81,NBA,HOU,40,42,3,,82,241.5,44.1,89.5,.493,0.6,2.1,.287,43.5,87.4,.498,19.1,25.7,.744,14.4,28.9,43.2,26.7,8.4,4.5,17.4,24.1,107.9
1979-80,NBA,HOU,41,41,2,,82,243.0,44.6,90.0,.496,0.7,2.6,.270,43.9,87.4,.502,20.7,26.3,.788,15.7,28.3,44.0,27.1,9.5,5.2,19.5,25.0,110.6
1978-79,NBA,HOU,47,35,2,,82,241.2,46.3,93.0,.498,,,,46.3,93.0,.498,19.8,27.0,.736,14.5,28.2,42.7,27.8,8.0,5.3,17.1,25.1,112.4
1977-78,NBA,HOU,28,54,6,,82,240.6,43.5,90.3,.482,,,,43.5,90.3,.482,20.7,27.3,.759,14.6,30.8,45.4,24.3,7.4,4.4,17.2,21.4,107.8
1976-77,NBA,HOU,49,33,1,,82,241.2,41.8,89.7,.465,,,,41.8,89.7,.465,21.3,27.5,.775,13.7,27.2,40.9,23.0,6.7,4.3,17.0,24.1,104.8
1975-76,NBA,HOU,40,42,3,,82,240.9,43.9,92.1,.477,,,,43.9,92.1,.477,19.1,25.3,.757,13.6,30.2,43.8,24.7,8.3,3.8,18.6,25.0,107.0
1974-75,NBA,HOU,41,41,2,,82,241.2,41.8,86.9,.481,,,,41.8,86.9,.481,19.2,25.9,.741,12.6,29.0,41.7,24.7,9.1,3.8,20.5,25.2,102.9
1973-74,NBA,HOU,32,50,3,,82,242.1,43.3,90.6,.478,,,,43.3,90.6,.478,21.0,28.5,.736,14.2,31.9,46.1,25.9,8.6,4.6,21.2,24.3,107.6
1972-73,NBA,HOU,33,49,3,,82,240.0,46.6,99.0,.471,,,,46.6,99.0,.471,21.3,27.9,.762,,,52.9,25.7,,,,23.2,114.5
1971-72,NBA,HOU,34,48,4,,82,240.6,43.2,95.3,.453,,,,43.2,95.3,.453,24.8,33.4,.744,,,52.4,23.7,,,,23.7,111.2
1970-71,NBA,SDR,40,42,3,,82,240.6,44.4,98.8,.449,,,,44.4,98.8,.449,24.7,33.5,.737,,,53.0,26.0,,,,26.1,113.4
1969-70,NBA,SDR,27,55,7,,82,241.2,,,,,,,,,,,,,,,,,,,,,121.8
1968-69,NBA,SDR,37,45,4,,82,241.2,,,,,,,,,,,,,,,,,,,,,115.5
1967-68,NBA,SDR,15,67,6,,82,240.9,,,,,,,,,,,,,,,,,,,,,121.0